Country,Element,Year,Unit,Value,Land SQM Text,Land sqkm
S. Sudan,Stocks,2018,Head,16277418,"619,745 km",619745.00
Central African Rep.,Stocks,2018,Head,446966,"623,000 sq km",623000.00
Somalia,Stocks,2018,Head,10649679,"627,340 sq km",627340.00
Afghanistan,Stocks,2018,Head,14023689,"652,230 sq km",652230.00
Myanmar,Stocks,2018,Head,1334305,"676,575 km",676575.00
Zambia,Stocks,2018,Head,261987,"743,390 sq km",743390.00
Chile,Stocks,2018,Head,3198130,"743,800 sq km",743800.00
Turkey,Stocks,2018,Head,33677636,"769,630 sq km",769630.00
Pakistan,Stocks,2018,Head,30498000,"770,880 sq km",770880.00
Mozambique,Stocks,2018,Head,169310,"786,380 sq km",786380.00
Namibia,Stocks,2018,Head,1717774,"823,290 sq km",823290.00
Venezuela,Stocks,2018,Head,610553,"882,050 sq km",882050.00
Tanzania,Stocks,2018,Head,7782332,"885,800 sq km",885800.00
Nigeria,Stocks,2018,Head,42971860,"910,770 sq km",910770.00
Ethiopia,Stocks,2018,Head,31688157,"1,000,000 sq km",1000000.00
Egypt,Stocks,2018,Head,5552849,1.01 million sq km,1010000.00
Mauritania,Stocks,2018,Head,11035860,1.03 million sq km,1030000.00
Bolivia,Stocks,2018,Head,7493000,1.08 million sq km,1080000.00
Colombia,Stocks,2018,Head,913051,1.11 million sq km,1110000.00
South Africa,Stocks,2018,Head,22500072,1.21 million sq km,1210000.00
Mali,Stocks,2018,Head,18270000,1.22 million sq km,1220000.00
Angola,Stocks,2018,Head,1170996,1.25 million sq km,1250000.00
Chad,Stocks,2018,Head,33215051,1.26 million sq km,1260000.00
Niger,Stocks,2018,Head,12746788,1.27 million sq km,1270000.00
Peru,Stocks,2018,Head,11331908,1.28 million sq km,1280000.00
Mongolia,Stocks,2018,Head,30554804,1.55 million sq km,1550000.00
Iran,Stocks,2018,Head,39670704,1.648 million sq km,1648000.00
Libya,Stocks,2018,Head,7449771,1.76 million sq km,1760000.00
Indonesia,Stocks,2018,Head,17398000,1.81 million sq km,1810000.00
Sudan,Stocks,2018,Head,40846000,1.886 million sq km,1886000.00
Mexico,Stocks,2018,Head,8683835,1.94 million sq km,1940000.00
Saudi Arabia,Stocks,2018,Head,9408766,2 million sq km,2000000.00
Dem. Rep. Congo,Stocks,2018,Head,899191,2.27 million sq km,2270000.00
Algeria,Stocks,2018,Head,28693330,2.38 million sq km,2380000.00
Kazakhstan,Stocks,2018,Head,16416177,2.7 million sq km,2700000.00
Argentina,Stocks,2018,Head,14339908,2.74 million sq km,2740000.00
Caribbean,Stocks,2018,Head,2021330,2.754 million sq km,2754000.00
India,Stocks,2018,Head,61666343,2.97 million sq km,2970000.00
Australia,Stocks,2018,Head,70067316,7.68 million sq km,7680000.00
Brazil,Stocks,2018,Head,18948934,8.46 million sq km,8460000.00
Canada,Stocks,2018,Head,829400,9.09 million sq km,9090000.00
China,Stocks,2018,Head,164079093,9.33 million sq km,9330000.00
United States of America,Stocks,2018,Head,5265000,9.834 million sq km,9834000.00
Russian Federation,Stocks,2018,Head,22347284,16.38 million sq km,16380000.00
Montserrat,Stocks,2018,Head,4839,102 km,102.00
Gambia,Stocks,2018,Head,72611,"11,295 km",11295.00
Falkland Islands,Stocks,2018,Head,699397,"12,173 km",12173.00
Montenegro,Stocks,2018,Head,186490,"13,812 km",13812.00
Bahamas,Stocks,2018,Head,6729,"13,878 km",13878.00
Timor-Leste,Stocks,2018,Head,47085,"15,007 km",15007.00
British Virgin Islands,Stocks,2018,Head,6100,153 km,153.00
Eswatini,Stocks,2018,Head,39544,"17,364 km",17364.00
Saint Pierre and Miquelon,Stocks,2018,Head,208,242 km,242.00
North Macedonia,Stocks,2018,Head,726990,"25,713 km",25713.00
Republic of Moldova,Stocks,2018,Head,679149,"33,846 km",33846.00
"Saint Helena, Ascension and Tristan da Cunha",Stocks,2018,Head,794,420 km,420.00
Czechia,Stocks,2018,Head,218915,"78,866 km",78866.00
French Guiana,Stocks,2018,Head,1089,"83,534 km",83534.00
Serbia,Stocks,2018,Head,1711677,"88,361 km",88361.00
Netherlands Antilles (former),Stocks,2018,Head,10005,999 km,999.00
